EAN,amount,brand,capacity,category,description,extras,image_url,ingredients,origin,price,seller,storage,title,url,weight
,"1,5 l",,,Napoje > Wody > Gazowane,,,https://www.carrefour.pl/images/product/350x350/carrefour-naturalna-woda-mineralna-gazowana-15-l-26puv3.jpg,,,0.99,Carrefour,"Przechowywać w suchym i chłodnym miejscu, chronić przed działaniem promieni słonecznych i zamrożeniem. Po otwarciu przechowywać w warunkach chłodniczych, spożyć w ciągu 24 godzin.","Carrefour Naturalna woda mineralna gazowana 1,5 l",https://www.carrefour.pl:443/napoje/wody/gazowane/carrefour-naturalna-woda-mineralna-gazowana-15-l,
,"0,75 l",,,"Napoje > Soki, nektary i syropy > Soki świeże","Smak soku zależy od odmiany owoców. Produkt zawiera naturalnie występujące cukry. Mętność i osad soku są zjawiskiem naturalnym. Sok tłoczony jest ze świeżych, ekologicznych owoców, nie z koncentratu, jest nieklarowany i utrwalony za pomocą pasteryzacji.",,https://www.carrefour.pl/images/product/350x350/bio-100-jablkowy-700-ml-4fkmb6.jpg,"sok Bio wyciśnięty z jabłek 100%.
<br><br>Oznakowanie alergenów: wielkimi literami",,9.99,Carrefour,"Przechowywać w zacienionym miejscu, w temperaturze od +2°C do +25°C. Po otwarciu spożyć w ciągu 2 dni.",BIO 100% - jabłkowy 700 ml,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/soki-swieze/bio-100-jablkowy-700-ml,
,1 l,,,"Napoje > Mleko, napoje mleczne i roślinne > Mleko świeże","Mleko Wiejskie z Piątnicy jest poddawane procesowi mikrofiltracji i pasteryzacji w temperaturze 74°C. Dzięki temu zachowuje większość cennych składników odżywczych, w tym witaminy oraz niezdenaturowane białka serwatkowe.",,https://www.carrefour.pl/images/product/350x350/piatnica-mleko-wiejskie-swieze-32-1-l-9vum5i.jpg,"Zawartość tłuszczu: 3,2%
",,3.35,Carrefour,Przechowywać w temperaturze od +1°C do +6°C,"Piątnica Mleko wiejskie świeże 3,2% 1 l",https://www.carrefour.pl:443/napoje/mleko-napoje-mleczne-i-roslinne/mleko-swieze-1g/piatnica-mleko-wiejskie-swieze-32-1-l,
,9 l,,,Napoje > Wody > Gazowane,"Naturalna woda mineralna, średniozmineralizowana, z otworu Sudety+ w Gorzanowie k/ Polanicy-Zdroju. Zawiera wapń. Zawiera wodorowęglany. Odżelaziona przez napowietrzanie i filtrację, wysokonasycona dwutlenkiem węgla w toku produkcji: powyżej 4000 mg/l CO2.",,https://www.carrefour.pl/images/product/350x350/carrefour-naturalna-woda-mineralna-sudety-gazowana-6-x-15-l-rdlafp.jpg,,,5.89,Carrefour,"Przechowywać w suchym i chłodnym miejscu, chronić przed działaniem promieni słonecznych i zamrożeniem. Po otwarciu przechowywać w warunkach chłodniczych, spożyć w ciągu 24 godzin.","Carrefour Extra Sudety+ Naturalna woda mineralna gazowana 6 x 1,5 l",https://www.carrefour.pl:443/napoje/wody/gazowane/carrefour-extra-sudety-naturalna-woda-mineralna-gazowana-6-x-15-l,
,"0,6 l",,,Napoje > Wody > Niegazowane,"zawiera magnez, wapń i wodorowęglany W toku produkcji wodę poddano procesowi napowietrzania i filtracji - częściowo odgazowana. Woda wydobywana z otworów: O-1, K-1, M-2, M-5, M-13 w Miliku, M-3, A-1 w Andrzejówce",,https://www.carrefour.pl/images/product/350x350/muszynianka-plus-naturalna-woda-mineralna-wysokozmineralizowana-niskonasycona-co2-06-l-dr600m.jpg,,,1.99,Carrefour,Przechowywać w chłodnym i zaciemnionym miejscu.,"Muszynianka plus Naturalna woda mineralna wysokozmineralizowana niskonasycona CO2 0,6 l",https://www.carrefour.pl:443/napoje/wody/niegazowane/muszynianka-plus-naturalna-woda-mineralna-wysokozmineralizowana-niskonasycona-co2-06-l,
,1 l,,,"Napoje > Soki, nektary i syropy > Owocowe",,,https://www.carrefour.pl/images/product/350x350/granini-nektar-gruszka-1-l-4jc931.jpg,"przecier gruszkowy (30%), woda, sok gruszkowy z zagęszczonego soku gruszkowego (20%), cukier, zagęszczony sok cytrynowy, przeciwutleniacz: kwas askorbinowy, Zawartość owoców: min. 50%
",,7.59,Carrefour,Po otwarciu przechowywać w chłodnym miejscu i spożyć w ciągu 2-3 dni.,Granini Nektar gruszka 1 l,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/owocowe-p6/granini-nektar-gruszka-1-l,
,"0,25 l",,,"Napoje > Soki, nektary i syropy > Owocowe",,,https://www.carrefour.pl/images/product/350x350/purella-superfoods-supershot-recovery-napoj-niegazowany-imbir-kurkuma-60-ml-sog4gj.jpg,"zagęszczony sok pomarańczowy, sok imbirowy NFC* (28%), sok cytrynowy NFC*, zagęszczony sok z białych winogron*, sok z kurkumy NFC* (4%), *składniki pochodzenia ekologicznego
",,4.99,Carrefour,Przechowywać w suchym i chłodnym miejscu. Chronić przed światłem.,Purella Superfoods Supershot Recovery Napój niegazowany imbir + kurkuma 60 ml,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/owocowe-p6/purella-superfoods-supershot-recovery-napoj-niegazowany-imbir-kurkuma-60-ml,
,"0,25 l",,,"Napoje > Mleko, napoje mleczne i roślinne > Napoje mleczne, kawowe",Jest wytwarzany zgodnie z tradycyjną recepturą. Proces jego dojrzewania i fermentacji zachodzi osobno w każdej zamkniętej butelce.,,https://www.carrefour.pl/images/product/350x350/robico-kefir-15-250-g-km028b.jpg,"<span style='font-weight: bold;'>mleko</span> pasteryzowane, żywe kultury bakterii i drożdży kefirowych
",,1.59,Carrefour,Temperatura przechowywania: od 2°C do 8°C,"Robico Kefir 1,5% 250 g",https://www.carrefour.pl:443/napoje/mleko-napoje-mleczne-i-roslinne/napoje-mleczne-kawowe/robico-kefir-15-250-g,
,"0,3 l",,,"Napoje > Soki, nektary i syropy > Soki świeże","Smak soku zależy od odmiany owoców. Produkt zawiera naturalnie występujące cukry. Mętność i osad soku są zjawiskiem naturalnym. Sok tłoczony jest ze świeżych owoców, nie koncentratu, jest nieklarowany i utrwalony za pomocą pasteryzacji.",,https://www.carrefour.pl/images/product/350x350/sok-gruszkowy-300-ml-2dbo1e.jpg,"wyciśnięty sok z gruszek 100%.
<br><br>Oznakowanie alergenów: wielkimi literami",,2.99,Carrefour,"Przechowywać w zacienionym miejscu,w temperaturze od +2°C do +25°C. Po otwarciu przechowywać w lodówce. <br>Spożyć w ciągu 2 dni.",Sok gruszkowy 300 ml,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/soki-swieze/sok-gruszkowy-300-ml,
,"0,1 kg",,,"Napoje > Kawy, herbaty, kakao > Herbaty","Tetley Classic to specjalna kompozycja czarnych herbat o klasycznym, orzeźwiającym i jednocześnie łagodnym smaku.",,https://www.carrefour.pl/images/product/350x350/tetley-classic-herbata-czarna-granulowana-100-g-pbhc9q.jpg,"herbata czarna
",,6.59,Carrefour,Przechowywać w suchym i chłodnym miejscu.,Tetley Classic Herbata czarna granulowana 100 g,https://www.carrefour.pl:443/napoje/kawy-herbaty-kakao/herbaty-h8/tetley-classic-herbata-czarna-granulowana-100-g,
,"0,25 kg",,,"Napoje > Kawy, herbaty, kakao > Kawy",,,https://www.carrefour.pl/images/product/350x350/segafredo-zanetti-arabica-kawa-palona-mielona-250-g-jdpdr2.jpg,,,19.69,Carrefour,Przechowywać w suchym i chłodnym miejscu z dala od promieni słonecznych.,Segafredo Zanetti Arabica Kawa palona mielona 250 g,https://www.carrefour.pl:443/napoje/kawy-herbaty-kakao/kawy-5u/segafredo-zanetti-arabica-kawa-palona-mielona-250-g,
,"0,3 l",,,"Napoje > Soki, nektary i syropy > Soki świeże","Smak soku zależy od odmiany owoców. Produkt zawiera naturalnie występujące cukry. Mętność i osad soku są zjawiskiem naturalnym. Sok tłoczony jest ze świeżych, ekologicznych owoców oraz ziół, nie koncentratu, jest nieklarowany i utrwalony za pomocą pasteryzacji.",,https://www.carrefour.pl/images/product/350x350/100-bio-sok-z-jablek-i-miety-300-ml-b1v0nv.jpg,"sok BIO wyciśnięty z jabłek 95%, sok BIO wyciśnięty z mięty 5%.
<br><br>Oznakowanie alergenów: wielkimi literami",,4.99,Carrefour,"Przechowywać w zacienionym miejscu, w temperaturze od +2°C do +25°C. Po otwarciu przechowywać w lodówce. Spożyć w ciągu 2 dni.",100% BIO - Sok z jabłek i mięty 300 ml,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/soki-swieze/100-bio-sok-z-jablek-i-miety-300-ml,
,"0,75 l",,,"Napoje > Soki, nektary i syropy > Soki świeże","Smak soku zależy od odmiany owoców. Produkt zawiera naturalnie występujące cukry. Mętność i osad soku są zjawiskiem naturalnym. Sok tłoczony jest ze świeżych, ekologicznych owoców i wrzyw, nie z koncentratu, jest nieklarowany i utrwalony za pomocą pasteryzacji.",,https://www.carrefour.pl/images/product/350x350/100-bio-sok-z-rabarbaru-i-jablek-700-ml-8l7a3e.jpg,"sok Bio wyciśnięty z rabarbaru 70%, sok Bio wyciśnięty z jabłek 30%.
<br><br>Oznakowanie alergenów: wielkimi literami",,9.99,Carrefour,"Przechowywać w zacienionym miejscu, w temperaturze od +2°C do +25°C. Po otwarciu spożyć w ciągu 2 dni.",100% BIO - Sok z rabarbaru i jabłek 700 ml,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/soki-swieze/100-bio-sok-z-rabarbaru-i-jablek-700-ml,
,"0,25 l",,,"Napoje > Soki, nektary i syropy > Soki świeże","Naturalny sok z pokrzywy tłoczony na zimno z całych pokrzyw i poddany lekkiej pasteryzacji. Sok posiada specyficzny dla pokrzyw smak i zapach. Osad jest zjawiskiem naturalnym. Sok może się również rozwarstwiać. Kolor i smak jest zależny od stopnia dojrzałości pokrzyw. Zawiera jedynie naturalnie występujące cukry w pokrzywach.

Sok z pokrzyw ma wiele cennych właściwości m.in. oczyszcza krew z toksyn, dostarcza żelazo w naturalnej i szybko przyswajalnej formie, wzmacnia nerki, wątrobę i trzustkę, przywraca apetyt, jest doskonały dla cukrzyków, ponieważ nie zawiera cukru. Stosowany zewnętrznie rewelacyjnie pielęgnuje włosy: wzmacnia je, odbudowuje, zapobiega przetłuszczaniu i  nadaje im piękny połysk.",,https://www.carrefour.pl/images/product/350x350/sok-z-pokrzywy-200-ml-1u5qg0.jpg,"świeże pokrzywy 100%.
<br><br>Oznakowanie alergenów: wielkimi literami",,12.99,Carrefour,Po otwarciu przechowywać w temperaturze od +1ºC do +7ºC. Spożyć w ciągu 7 dni. Przed użyciem wstrząsnąć.,Sok z pokrzywy 200 ml,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/soki-swieze/sok-z-pokrzywy-200-ml,
,2 l,,,"Napoje > Soki, nektary i syropy > Multiwitamina i wielosmakowe","Ludzki organizm sam nie wytwarza witaminy C, dlatego tak ważne jest uzupełnianie jej w codziennej diecie. Już jedna szklanka Caprio dostarcza 100% dziennej dawki witaminy C!

witamina C* - odporność, zdrowa skóra, zdrowe kości, dobre samopoczucie

* Witamina C wspiera prawidłowe funkcjonowanie układu odpornościowego, pomaga w prawidłowej produkcji kolagenu w celu zapewnienia prawidłowego funkcjonowania skóry i kości, wpływa na zmniejszenie uczucia zmęczenia, pomaga w prawidłowym funkcjonowaniu układu nerwowego i utrzymaniu prawidłowych funkcji psychologicznych. Zbilansowana i zróżnicowana dieta jest podstawą zdrowego trybu życia.",,https://www.carrefour.pl/images/product/350x350/caprio-napoj-jablko-aronia-wisnia-2-l-q547ai.jpg,"woda, soki z zagęszczonych soków z: jabłek (11,5%), aronii (6%) i wiśni (2,5%), cukier (D) i/lub syrop glukozowo-fruktozowy (G), regulatory kwasowości: kwas cytrynowy i cytryniany sodu, witamina C, aromat, substancje słodzące: acesulfam K, cyklaminian sodu i sukraloza, D, G - w zależności od użytego składnika: patrz nadruk na wierzchu opakowania
",,4.59,Carrefour,Po otwarciu przechowywać w lodówce nie dłużej niż 48 godz.,Caprio Napój jabłko aronia wiśnia 2 l,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/multiwitamina-i-wielosmakowe/caprio-napoj-jablko-aronia-wisnia-2-l,
,2 l,,,"Napoje > Soki, nektary i syropy > Owocowe","Ludzki organizm sam nie wytwarza witaminy C, dlatego tak ważne jest uzupełnianie jej w codziennej diecie. Już jedna szklanka Caprio dostarcza 100% dziennej dawki witaminy C!

Witamina C* - odporność, zdrowa skóra, zdrowe kości, dobre samopoczucie

*Witamina C wspiera prawidłowe funkcjonowanie układu odpornościowego, pomaga w prawidłowej produkcji kolagenu w celu zapewnienia prawidłowego funkcjonowania skóry i kości, wpływa na zmniejszenie uczucia zmęczenia, pomaga w prawidłowym funkcjonowaniu układu nerwowego i utrzymaniu prawidłowych funkcji psychologicznych. Zbilansowana i zróżnicowana dieta jest podstawą zdrowego trybu życia.",,https://www.carrefour.pl/images/product/350x350/caprio-napoj-czarna-porzeczka-2-l-c48fs7.jpg,"woda, soki z zagęszczonych soków z: czarnych porzeczek (10%) i jabłek (9%), syrop glukozowo-fruktozowy (G) i/lub cukier (D), sok z aronii z zagęszczonego soku (1%), regulator kwasowości - kwas cytrynowy, aromat, witamina C, substancje słodzące: acesulfam K i cyklaminian sodu, D, G - w zależności od użytego składnika: patrz nadruk na wierzchu opakowania
",,4.59,Carrefour,Po otwarciu przechowywać w lodówce nie dłużej niż 48 godz.,Caprio Napój czarna porzeczka 2 l,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/owocowe-p6/caprio-napoj-czarna-porzeczka-2-l,
,"0,225 l",,,"Napoje > Soki, nektary i syropy > Soki świeże","Witamina C pomaga w prawidłowym funkcjonowaniu układu odpornościowego.
Ważny jest zrównoważony sposób żywienia i zdrowy tryb życia.",,https://www.carrefour.pl/images/product/350x350/ogrody-natury-sok-100-jablko-225-ml-vhrrfs.jpg,"sok z jabłek 100%
",,3.49,Carrefour,Po otwarciu przechowywać w lodówce do 24 godzin.,Ogrody Natury Sok 100% jabłko 225 ml,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/soki-swieze/ogrody-natury-sok-100-jablko-225-ml-vl,
,2 l,,,"Napoje > Soki, nektary i syropy > Owocowe","Ludzki organizm sam nie wytwarza witaminy C, dlatego tak ważne jest uzupełnianie jej w codziennej diecie. Już jedna szklanka Caprio dostarcza 100% dziennej dawki witaminy C!

witamina C* - odporność, zdrowa skóra, zdrowe kości, dobre samopoczucie

*Witamina C wspiera prawidłowe funkcjonowanie układu odpornościowego, pomaga w prawidłowej produkcji kolagenu w celu zapewnienia prawidłowego funkcjonowania skóry i kości, wpływa na zmniejszenie uczucia zmęczenia, pomaga w prawidłowym funkcjonowaniu układu nerwowego i utrzymaniu prawidłowych funkcji psychologicznych. Zbilansowana i zróżnicowana dieta jest podstawą zdrowego trybu życia.",,https://www.carrefour.pl/images/product/350x350/caprio-napoj-jablko-mango-2-l-u4s570.jpg,"woda, sok jabłkowy z zagęszczonego soku (19%), cukier (D) i/lub syrop glukozowo-fruktozowy (G), sok z mango z zagęszczonego soku (1%), regulatory kwasowości: kwas cytrynowy i cytryniany sodu, witamina C, barwnik - karoteny, aromaty, stabilizator - guma arabska, substancje słodzące: acesulfam K, cyklaminian sodu i sukraloza, D, G - w zależności od użytego składnika: patrz nadruk na wierzchu opakowania
",,4.59,Carrefour,Po otwarciu przechowywać w lodówce nie dłużej niż 48 godz.,Caprio Napój jabłko mango 2 l,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/owocowe-p6/caprio-napoj-jablko-mango-2-l,
,"0,5 l",,,"Napoje > Napoje gazowane i niegazowane > Lemoniada, oranżada, toniki",,,https://www.carrefour.pl/images/product/350x350/sprite-zero-napoj-gazowany-500-ml-j5398t.jpg,"woda, dwutlenek węgla, kwas: kwas cytrynowy, regulator kwasowości: cytryniany sodu, substancje słodzące: cyklaminian sodu, aspartam, sacharyny, naturalne aromaty cytryny i limonki
",,3.49,Carrefour,"Przechowywać w suchym i chłodnym miejscu, chronić przed działaniem promieni słonecznych.",Sprite Zero Napój gazowany 500 ml,https://www.carrefour.pl:443/napoje/napoje-gazowane-i-niegazowane/lemoniada-oranzada-toniki/sprite-zero-napoj-gazowany-500-ml,
,1 szt.,,,Artykuły spożywcze,,,https://www.carrefour.pl/images/product/350x350/drugie-sniadanie-jogurt-mus-truskawka-banan-100-g-alg6o3.jpg,"<b style=""font-weight:bold"">jogurt</b> naturalny (40%), truskawka (25%), banan (17%), jabłko, mąka ryżowa, koncentrat soku z czarnej marchwi",,2.89,Carrefour,Przechowywać w suchym i chłodnym miejscu. Przed otwarciem należy upewnić się czy opakowanie nie jest uszkodzone. Po otarciu przechowywać w lodówce i spożyć w ciągu 48 godzin.,Drugie śniadanie Jogurt + mus truskawka banan 100 g,https://www.carrefour.pl:443/artykuly-spozywcze/drugie-sniadanie-jogurt-mus-truskawka-banan-100-g,
,"1,5 l",,,Napoje > Wody > Niegazowane,Naturalna woda mineralna Staropolanka 800 z ujęcia Staropolanka z uzdrowiska w Polanicy-Zdroju.,,https://www.carrefour.pl/images/product/350x350/staropolanka-800-naturalna-woda-mineralna-sredniozmineralizowana-niegazowana-15-l-jk9jac.jpg,,,2.19,Carrefour,"Przechowywać w chłodnym i zaciemnionym miejscu, wolnym od obcych zapachów.<br>Chronić przed przemrożeniem i działaniem promieni słonecznych.<br>Może występować osad naturalnych związków mineralnych.","Staropolanka 800 Naturalna woda mineralna średniozmineralizowana niegazowana 1,5 l",https://www.carrefour.pl:443/napoje/wody/niegazowane/staropolanka-800-naturalna-woda-mineralna-sredniozmineralizowana-niegazowana-15-l,
,1 szt.,,,"Napoje > Kawy, herbaty, kakao > Herbaty","Herbata czarna została skomponowana ze starannie wybranych gatunków liści herbacianych pochodzących z Chin. Poddano je procesom suszenia i fermentacji. Najwyższej jakości mieszanka czarnych herbat w torebkach zachwyca wspaniałym aromatem i niezapomnianym smakiem oraz głęboką, bursztynową barwą. Każda filiżanka tej herbaty zadowoli miłośników subtelnych smaków i słodkawych aromatów. Okrągłe torebki gwarantują, świeżość i odpowiednią moc naparu.",,https://www.carrefour.pl/images/product/350x350/minutka-herbata-czarna-56-g-40-torebek-13p4tt.jpg,"mieszanka herbat czarnych
",,3.29,Carrefour,Przechowywać w suchym i chłodnym miejscu.,Minutka Herbata czarna 56 g (40 torebek),https://www.carrefour.pl:443/napoje/kawy-herbaty-kakao/herbaty-h8/minutka-herbata-czarna-56-g-40-torebek,
,"0,25 kg",,,"Napoje > Kawy, herbaty, kakao > Kawy","100% Arabica z najlepszych plantacji Azji, Afryki i Ameryki Południowej. Dzięki starannie wyselekcjonowanym ziarnom posiada harmonijny i delikatny smak.

Naszą kawę tworzymy na innowacyjnej linii technologicznej w zakładzie w Starczanowie, w procesie produkcji, który usuwa z ziaren kawy tzw. substancje drażniące, zachowując 100% smaku, aromatu i zawartość kofeiny.

Przebadana klinicznie.",,https://www.carrefour.pl/images/product/350x350/astra-lagodna-tradycyjna-kawa-drobno-mielona-250-g-isa9aa.jpg,,,11.29,Carrefour,Kawę przechowywać w szczelnie zamkniętym opakowaniu w chłodnym i suchym miejscu.,Astra Łagodna Tradycyjna kawa drobno mielona 250 g,https://www.carrefour.pl:443/napoje/kawy-herbaty-kakao/kawy-5u/astra-lagodna-tradycyjna-kawa-drobno-mielona-250-g,
,"0,075 kg",,,"Napoje > Kawy, herbaty, kakao > Herbaty","Kompozycja czarnych herbat. Inspiracja z Azji.

Egzotyczna Azja inspiruje pięknem barw i oryginalnymi smakami. Lipton Gold Tea to doskonała kompozycja czarnych herbat, powstała ze starannie wyselekcjonowanych młodych listków, która nawiązując do niezwykłych smaków Azji, charakteryzuje się bogatym, lekko słodkim smakiem.

Idealna na chwilę relaksu oraz dla tych, którzy w czarnej herbacie poszukują nuty egzotycznej przygody.",,https://www.carrefour.pl/images/product/350x350/lipton-gold-herbata-czarna-75-g-50-torebek-jrgf73.jpg,"herbata czarna*, naturalny aromat, *Certyfikowane Rainforest Alliance
",,10.49,Carrefour,Przechowywać w suchym i ciemnym miejscu.,Lipton Gold Herbata czarna 75 g (50 torebek),https://www.carrefour.pl:443/napoje/kawy-herbaty-kakao/herbaty-h8/lipton-gold-herbata-czarna-75-g-50-torebek,
,"0,03 kg",,,"Napoje > Kawy, herbaty, kakao > Herbaty","Odkryj blask słońca, ożywczy deszcz i głęboką zieleń liści Zielonej Herbaty. Świeży smak i ta cudowna chwila błogości.",,https://www.carrefour.pl/images/product/350x350/lipton-o-smaku-grejpfrut-i-gruszka-herbata-zielona-aromatyzowana-30-g-20-torebek-fcjk7s.jpg,"herbata zielona, aromat, skórka grejpfruta (2%), gruszka (2%)
",,7.99,Carrefour,Przechowywać w suchym i ciemnym miejscu.,Lipton o smaku Grejpfrut i gruszka Herbata zielona aromatyzowana 30 g (20 torebek),https://www.carrefour.pl:443/napoje/kawy-herbaty-kakao/herbaty-h8/lipton-o-smaku-grejpfrut-i-gruszka-herbata-zielona-aromatyzowana-30-g-20-torebek,
,"0,1 kg",,,"Napoje > Kawy, herbaty, kakao > Herbaty",Zielona herbata to napój orzeźwiający i delikatny. Wspaniała herbata codzienna o właściwościach oczyszczających.,,https://www.carrefour.pl/images/product/350x350/dilmah-pure-green-herbata-zielona-100-g-leel4c.jpg,"naturalna zielona herbata, bez dodatków
",,10.49,Carrefour,Przechowywać w chłodnym i suchym miejscu.,Dilmah Pure Green Herbata zielona 100 g,https://www.carrefour.pl:443/napoje/kawy-herbaty-kakao/herbaty-h8/dilmah-pure-green-herbata-zielona-100-g,
,"0,25 kg",,,"Napoje > Kawy, herbaty, kakao > Kawy","Szlachetny aromat wyczuwalny od razu po otwarciu paczki, towarzyszyć Ci będzie podczas spotkań przy kawie.

Doskonała do parzenia w ekspresie oraz metodą tradycyjną.",,https://www.carrefour.pl/images/product/350x350/jacobs-kronung-decaff-kawa-bezkofeinowa-mielona-250-g-ub3jf1.jpg,,,21.19,Carrefour,Przechowywać w chłodnym i suchym miejscu.,Jacobs Krönung Decaff Kawa bezkofeinowa mielona 250 g,https://www.carrefour.pl:443/napoje/kawy-herbaty-kakao/kawy-5u/jacobs-kronung-decaff-kawa-bezkofeinowa-mielona-250-g,
,1 l,,,"Napoje > Soki, nektary i syropy > Soki świeże","Napój z wyciśniętym sokiem z cytryny z miąższem, niegazowany. Zawartość soku i miąższu 24%. Nie z koncentratu.",,https://www.carrefour.pl/images/product/350x350/lemoniada-z-wycisnietym-sokiem-z-cytryny-z-miazszem-limenita-1000-ml-l5u2u2.jpg,"woda, sok z cytryny  i miąższ z cytryny 24%, cukier.
<br><br>Oznakowanie alergenów: wielkimi literami",,7.99,Carrefour,Przechowywać w temperaturze od 0ºC do +7ºC.,Lemoniada z wyciśniętym sokiem z cytryny z miąższem Limenita 1000 ml,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/soki-swieze/lemoniada-z-wycisnietym-sokiem-z-cytryny-z-miazszem-limenita-1000-ml,
,"0,75 l",,,"Napoje > Soki, nektary i syropy > Soki świeże",,,https://www.carrefour.pl/images/product/350x350/limenita-fresh-cool-sok-z-mandarynek-z-miazszem-750-ml-8pna4r.jpg,"sok z mandarynek (97%), miąższ z mandarynek (3%)
",,8.99,Carrefour,"Przechowywać w lodówce, w temperaturze pomiędzy 0 °C a +7°C.<br>Po otwarciu spożyć w ciągu 4 dni. ",Limeñita Fresh & Cool Sok z mandarynek z miąższem 750 ml,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/soki-swieze/limenita-fresh-cool-sok-z-mandarynek-z-miazszem-750-ml,
,2 l,,,"Napoje > Soki, nektary i syropy > Owocowe","Tradycyjny, popularny smak - głębia smaku owoców czarnej porzeczki z lekko kwaskową nutą. Świetny do posiłku lub dla orzeźwienia. 

Sok na dobry dzień
Lekki spadek normy? Mamy na to sposób!
Szklanka nektaru z czarnej porzeczki - źródło witaminy C - pomaga w prawidłowym funkcjonowaniu układu odpornościowego.

Witamina C pomaga w prawidłowym funkcjonowaniu układu odpornościowego. Ważny jest zrównoważony sposób żywienia i zdrowy tryb życia. Picie co najmniej 100 ml nektaru dziennie pomaga osiągnąć korzystny efekt dla zdrowia.",,https://www.carrefour.pl/images/product/350x350/hortex-nektar-czarna-porzeczka-2-l-c6b9ml.jpg,"woda, sok z czarnych porzeczek (25%) z soku zagęszczonego, cukier, naturalny aromat z czarnych porzeczek, witamina C, Zawartość owoców minimum 25%
",,7.39,Carrefour,Przechowywać w suchym i chłodnym miejscu.<br>Po otwarciu przechowywać w lodówce i spożyć w ciągu 2 dni.,Hortex Nektar czarna porzeczka 2 l,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/owocowe-p6/hortex-nektar-czarna-porzeczka-2-l,
,"0,5 l",,,Napoje > Napoje gazowane i niegazowane > Napoje na bazie herbaty,,,https://www.carrefour.pl/images/product/350x350/nestea-napoj-herbaciany-o-smaku-brzoskwiniowym-05-l-nhqlt0.jpg,"woda, cukier, fruktoza, regulatory kwasowości: kwas cytrynowy i cytryniany sodu, sok brzoskwiniowy z zagęszczonego soku (0,1%), ekstrakt herbaty czarnej (0,08%), naturalne aromaty brzoskwiniowe z innymi naturalnymi aromatami, substancja słodząca - glikozydy stewiolowe
",,2.79,Carrefour,Przechowywać w zaciemnionym miejscu. Po otwarciu przechowywać w lodówce nie dłużej niż 48 godz. Mogący się pojawić w napoju osad pochodzi z herbaty.,"Nestea Napój herbaciany o smaku brzoskwiniowym 0,5 l",https://www.carrefour.pl:443/napoje/napoje-gazowane-i-niegazowane/napoje-na-bazie-herbaty/nestea-napoj-herbaciany-o-smaku-brzoskwiniowym-05-l,
,1 l,,,"Napoje > Soki, nektary i syropy > Owocowe","Antyoksydacja to naturalny proces zachodzący w organizmie. Nasze zdrowie to prawidłowo działające komórki.
Stres oksydacyjny powstaje, gdy zakłócona zostaje równowaga komórkowa między antyoksydantami a wolnymi rodnikami, dlatego tak ważne jest, aby mu przeciwdziałać.
1 szklanka napoju (porcja 250 ml) zawiera witaminy C i E, które pomagają w ochronie komórek przed stresem oksydacyjnym.
Pamiętaj, że zrównoważona dieta oraz zdrowy tryb życia mają znaczenie dla zachowania zdrowia.",,https://www.carrefour.pl/images/product/350x350/drwitt-premium-antyoksydacja-napoj-czarna-porzeczka-z-granatem-1-l-b2sejf.jpg,"woda, sok z czarnych porzeczek z zagęszczonego soku (19%), cukier, sok z granatów z zagęszczonego soku (1%), regulator kwasowości - kwas cytrynowy, witaminy: C i E, aromaty
",,5.99,Carrefour,"Chroń produkt przed światłem. Jeżeli otworzysz butelkę, to przechowuj ją w lodówce nie dłużej niż 48 godzin.",DrWitt Premium Antyoksydacja Napój czarna porzeczka z granatem 1 l,https://www.carrefour.pl:443/napoje/soki-nektary-i-syropy/owocowe-p6/drwitt-premium-antyoksydacja-napoj-czarna-porzeczka-z-granatem-1-l,
,"0,1 kg",,,"Napoje > Kawy, herbaty, kakao > Kawy",,,https://www.carrefour.pl/images/product/350x350/nosta-cappuccino-z-magnezem-100-g-pkgifb.jpg,"cukier, syrop glukozowy, <span style='font-weight: bold;'>mleko</span> w proszku odtłuszczone, tłuszcz roślinny, kawa rozpuszczalna (min: 4%), kawa zbożowa (ekstrakt prażonego <span style='font-weight: bold;'>jęczmienia</span> i <span style='font-weight: bold;'>żyta</span>), stabilizator E 340ii, aromat identyczny z naturalnym, substancja wzbogacająca: węglan magnezu
",,1.69,Carrefour,Przechowywać w suchym i chłodnym miejscu.,Nosta Cappuccino z magnezem 100 g,https://www.carrefour.pl:443/napoje/kawy-herbaty-kakao/kawy-5u/nosta-cappuccino-z-magnezem-100-g,
